player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,54,33,35,15,4,24,43,55.8,19,252,79,31.3,127,87,38,30,2,0,28,42,96,61,0,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,19,15,3,9,7,5,15,33.3,10,187,51,27.3,21,80,86,10,0,0,10,4,23,8,0,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,10,7,3,4,3,2,9,22.2,7,107,38,35.5,14,49,44,7,0,0,7,2,12,4,0,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,6,4,2,0,4,2,7,28.6,5,44,9,20.5,8,23,13,3,0,0,3,2,8,0,0,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,7,6,3,3,1,5,6,83.3,1,37,11,29.7,10,17,10,3,1,0,2,2,9,4,0,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,53,31,37,16,0,26,54,48.1,28,302,74,24.5,172,102,28,44,3,1,41,22,75,38,0,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,7,6,4,2,1,1,4,25.0,3,46,21,45.7,23,18,5,9,3,0,6,5,12,6,0,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,23-023,1998,7.7,25,16,11,10,4,9,14,64.3,5,109,51,46.8,50,45,14,11,1,0,10,16,41,10,2,Matches
Xabier Etxeita,es ESP,DF,Getafe,33-105,1987,9.8,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,9,21,77,1,Matches
Edu Expósito,es ESP,MF,Eibar,24-196,1996,18.7,31,19,10,18,3,13,40,32.5,27,289,97,33.6,69,161,59,30,4,0,26,19,50,15,0,Matches
Fali,es ESP,"DF,MF",Cádiz,27-185,1993,16.1,32,17,17,12,3,7,19,36.8,12,171,46,26.9,80,77,14,21,9,1,12,14,46,69,0,Matches
Ansu Fati,es ESP,FW,Barcelona,18-105,2002,4.8,8,3,2,3,3,2,5,40.0,3,80,18,22.5,18,29,33,8,0,0,8,1,9,1,0,Matches
Nabil Fekir,fr FRA,"MF,FW",Betis,27-210,1993,18.3,32,26,9,11,12,5,20,25.0,15,344,101,29.4,37,202,105,22,1,0,21,6,38,1,0,Matches
Felipe,br BRA,DF,Atlético Madrid,31-273,1989,11.5,16,13,12,4,0,5,10,50.0,5,75,24,32.0,39,28,8,16,6,0,10,20,36,77,0,Matches
João Félix,pt POR,FW,Atlético Madrid,21-095,1999,11.8,6,4,2,3,1,2,6,33.3,4,113,36,31.9,7,63,43,3,0,0,3,3,9,1,0,Matches
Aitor Fernández,es ESP,GK,Levante,29-286,1991,19.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,2,0,Matches
