player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,1140,993,147,77,5,160,68,64,62,18,31,3,731,132,277,23,1090,10,8,5,834,11,19,31,45,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,12,12,0,0,0,3,0,1,0,0,0,0,8,3,1,3,8,1,0,0,9,0,0,0,1,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,782,642,140,21,0,74,12,23,0,0,0,0,422,147,213,66,541,44,119,1,602,1,13,17,23,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,214,203,11,3,0,39,2,5,0,0,0,0,169,22,23,179,22,7,0,1,181,0,3,0,6,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,15,15,0,0,0,2,0,1,0,0,0,0,13,2,0,1,14,0,0,0,13,0,0,0,0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,166,156,10,4,0,29,15,3,5,0,4,0,108,21,37,16,139,7,1,0,128,0,3,1,6,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,7,6,1,1,0,0,0,0,0,0,0,0,5,2,0,0,6,1,0,0,4,0,0,1,0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,134,111,23,8,0,12,6,0,0,0,0,0,77,28,29,86,16,11,15,1,103,0,2,2,4,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,419,404,15,11,0,25,6,0,0,0,0,0,362,21,36,52,329,23,4,0,394,0,3,2,2,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,665,650,15,14,2,68,13,5,0,0,0,0,550,54,61,60,591,8,1,2,599,3,5,8,10,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,79,70,9,5,0,7,4,0,0,0,0,0,60,8,11,60,12,2,4,0,64,0,2,1,6,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,115,87,28,0,0,18,0,4,2,1,1,0,49,26,40,2,81,4,26,1,80,0,2,2,8,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,103,89,14,0,0,8,0,1,0,0,0,0,77,19,7,2,83,2,14,1,86,1,1,2,4,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,15,15,0,0,0,4,0,1,0,0,0,0,12,2,1,2,13,0,0,0,9,0,0,1,2,Matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,39,37,2,2,0,4,1,0,0,0,0,0,34,1,4,6,32,1,0,0,35,0,0,0,1,Matches
Kiril Despodov,bg BUL,FW,Cagliari,24-094,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mattia Destro,it ITA,FW,Genoa,29-330,1991,9.2,137,126,11,0,1,34,4,0,0,0,0,0,90,23,24,7,102,6,1,8,99,0,2,5,5,Matches
Gerard Deulofeu,es ESP,FW,Udinese,26-337,1994,5.6,214,188,26,2,2,36,7,12,16,6,4,0,168,18,28,19,187,2,5,1,147,0,2,9,17,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,29-003,1992,0.9,43,35,8,0,0,3,1,3,4,0,0,0,28,6,9,7,35,1,0,0,32,0,1,0,1,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32-146,1988,5.6,157,146,11,0,0,67,0,5,0,0,0,0,68,57,32,16,94,16,0,4,97,0,2,5,9,Matches
